epoch,train_loss,train_acc,train_macro_f1,test_loss,test_acc,test_macro_f1
1,0.38294020614624025,0.845725,0.7540527820939643,0.2742411265432835,0.9523,0.8873737141978065
2,0.22486929240226747,0.9136125,0.8317081659615482,0.23882278550863267,0.95915,0.8995346543286933
3,0.19025340530872345,0.9261375,0.8491524044543091,0.33354353642463686,0.9392,0.8720868347492967
4,0.17086327555179595,0.934125,0.8611674486312503,0.24088858060836793,0.95655,0.8933057398819781
5,0.15970004115104675,0.935275,0.8626753952065347,0.19728855519294738,0.8813,0.8056762826543873
6,0.14755096272230148,0.939175,0.8685131271645273,0.17701184079647064,0.9591,0.8996379201531608
7,0.1369352300286293,0.94325,0.8754352713286171,0.2056885871231556,0.9675,0.9095291634666864
8,0.12590253264904022,0.946575,0.8816619157838066,0.5195021354675293,0.6189,0.628515913754516
9,0.11855090514421462,0.949375,0.8858353579035723,0.27061190843582156,0.88615,0.8166791441598512
10,0.11114620201587677,0.9516625,0.8901504413227259,0.1504016070842743,0.90605,0.8310597253629636
11,0.10037834728956223,0.955325,0.8968123941912189,0.13507348059415816,0.94695,0.8788285867672663
12,0.07707946391701698,0.965,0.9147322413245909,0.11946739946603775,0.9635,0.9069816190410225
13,0.06881759397983551,0.9672,0.9193679410692824,0.17597314183861018,0.97755,0.935905179567746
14,0.06718754427731037,0.9688375,0.9228516033103699,0.12496938133239746,0.974,0.9322131447790913
15,0.062039294523000714,0.9697625,0.9249427896050909,0.14092289668917657,0.97475,0.9308623317195186
16,0.062439450401067735,0.9693,0.9228773969446435,0.18003287360072137,0.973,0.9331582070909344
17,0.05658783329427242,0.9715125,0.928727368812293,0.16201139397025108,0.97425,0.928063262196966
18,0.043718502432107925,0.9781,0.9435301843913114,0.11973496031165123,0.97145,0.9246941418150778
19,0.03729935975149274,0.9807,0.9490091974810513,0.13869785410761834,0.9742,0.93041283171221
20,0.03587723808586597,0.981525,0.9506743480422517,0.11995782995224,0.9778,0.9407392177117115
